shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8edb0ac0-7024-48a5-a3bf-3ff8e8a7044f,37.225368229104,-80.4096762783396,41,2250.43
c36e7bd9-7191-4115-a8f8-5507f1f145cf,37.1656140792088,-80.4285905880832,125,14020.9
50af930d-67fd-4314-80ca-dcff1602aa9f,37.231765,-80.424925,132,8294.79
0a3f36d7-c307-4463-b6c5-99406a7cffaf,37.2141706763309,-80.4526925949696,51,4125.85
a5d067da-d551-4428-93e8-ae0cd08d0e96,37.2080275177297,-80.4215599497663,56,3539.91
86a57bd8-fef0-4b5e-b079-990c8f500901,37.2338462894502,-80.4227552910472,12,519.97
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.181945039912,-80.4107613807636,172,19116.94
25434fe2-1283-4de5-baa4-bb1845c06a9e,37.2463125825431,-80.4148996692724,72,5805.19
50af930d-67fd-4314-80ca-dcff1602aa9f,37.2384778999375,-80.4044771435545,83,5140.23
50af930d-67fd-4314-80ca-dcff1602aa9f,37.2306806622166,-80.4153592983055,98,6794.97
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.17360051225,-80.4199585543945,167,17875.17
c36e7bd9-7191-4115-a8f8-5507f1f145cf,37.1643242212224,-80.4254175700658,143,14886.72
5ace41fb-b4a5-42d0-8d49-1628dcfd98a9,37.2090440438282,-80.4174172003999,40,2893.76
e0c0f9c9-b199-40b3-87ab-7bd1f213e157,37.2211219969295,-80.4195410909949,24,1991.92
5ace41fb-b4a5-42d0-8d49-1628dcfd98a9,37.2151457520593,-80.4251108777948,71,4440.11
f83a250c-9d24-4fcf-a339-5447d451fdf5,37.2093878569322,-80.3988741219387,17,1767.26
a5d067da-d551-4428-93e8-ae0cd08d0e96,37.2028776158625,-80.4122083865269,16,1446.52
bccd5bab-2cf0-4b7a-bbac-6523feb55222,37.2206617482318,-80.4244739773478,65,3563.2
c36e7bd9-7191-4115-a8f8-5507f1f145cf,37.226974795377,-80.4418391360875,40,2276.82
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.1935809118135,-80.4012976275802,129,8471.55
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.2151871528045,-80.4252054803599,51,3215.58
e570e646-82c5-4744-98dc-764a6d346163,37.2319368684972,-80.4279776363166,61,5378.49
2504249f-e511-4516-8a2e-2c1e088d018d,37.223944349524,-80.4080511872799,66,7452.08
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.164279923884,-80.4254818947958,126,13856.31
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.2273622068567,-80.4408772664647,48,2442.23
641aaf72-1326-4d06-a82a-2f2d84091463,37.2210582046765,-80.4228604433686,9,1366.88
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.2247617264881,-80.4400881251669,218,26193.02
a43aa2ac-7c35-4c0b-a970-437b91e4ba35,37.2304113905967,-80.4362674829366,80,8210.84
e708f6e7-1846-4ab0-b148-b3f768db6cb4,37.2427911044228,-80.4305060061302,61,3699.08
6c8db17c-cc7e-4357-a5c5-21c8e98984ed,37.2322131752903,-80.4167396547584,91,6994.32
af234ae3-0762-49b9-89ff-4665d5b32ac7,37.2351956344915,-80.4209581095059,105,5137.46
312be01d-4ee2-41b0-87d1-4ac8e4899530,37.2246928068914,-80.4246897111482,42,2307.93
8734192f-6a21-49a5-abcc-f16c770661f5,37.2248643891199,-80.4367863206058,49,3352.54
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.2311620837291,-80.435256497918,26,1477.85
6e506adb-c6e8-48e0-b606-2bd650720397,37.2432828281606,-80.4170887912833,59,6148.32
c36e7bd9-7191-4115-a8f8-5507f1f145cf,37.1658909330455,-80.4218971790924,101,12681.71
9231ca1f-b1ee-4245-85f9-3186ecc00751,37.2169328396676,-80.4240434235657,17,2099.5
6e506adb-c6e8-48e0-b606-2bd650720397,37.2352401150847,-80.4205456770787,25,815.59
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.1939821940172,-80.3959192217511,134,8949.85
f0de71e0-107d-4bcb-a8d2-8dfcf6d66e3a,37.2439614189276,-80.413034678694,8,840.19
8c645223-1d5a-4351-adb6-43949e7cf524,37.1657163577546,-80.4245761855126,140,14713.7
b6d71f6b-4e43-42bc-a74d-ef5ff8fbb8a6,37.2306975808243,-80.4153738156296,107,9898.27
c1bea031-37b2-475c-8beb-85fbb71be7a0,37.2297604698593,-80.4211606434589,11,552.32
8c645223-1d5a-4351-adb6-43949e7cf524,37.1672135861806,-80.4292822347069,114,13408.76
8edb0ac0-7024-48a5-a3bf-3ff8e8a7044f,37.232057127714,-80.4238493658394,1,98.15
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.1858312390884,-80.4092333484788,80,8556.56
