stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
1130,1130,Oak Lane Nbnd,745,37.2251407398258,-80.4362593847449,0,0
1118,1118,Oak Lane North,722,37.2263368801079,-80.437413331116,0,0
1119,1119,Oak Lane South,723,37.2248603239572,-80.4363565407012,0,0
1120,1120,Overflow Lot Ebnd,724,37.2240907301494,-80.4308310398899,0,0
1136,1136,Duck Pond/Smithfield Sbnd,,37.2240962596951,-80.429328979726,0,0
1121,1121,I Lot/Cage Sbnd,725,37.2206774187492,-80.4267528907509,0,0
8113,8113,Orange Bay 13,,37.230447,-80.426493,0,0
1300,1300,Toms Creek/Winston Nbnd,300,37.2347992500543,-80.4258919016058,0,0
1301,1301,Gilbert Linkous Nbnd,301,37.2365668259005,-80.4268186048757,0,0
1302,1302,Toms Creek/Watson Nbnd,302,37.238024606587,-80.4266053692463,0,0
1303,1303,Toms Creek/McBryde Nbnd,303,37.2402629101433,-80.4271351055583,0,0
1337,1337,Toms Creek/Hunt Club Nbnd,,37.2420827890684,-80.42768227623,0,0
1310,1310,University City/Toms Creek Wbnd,310,37.2429901248923,-80.4296983256818,0,0
1311,1311,Shawnee on University City Wbnd,311,37.242260364969,-80.433388461262,0,0
1312,1312,Shawnee on University City Sbnd,312,37.2410338973869,-80.4352544289222,0,0
1313,1313,University City/Broce Sbnd,313,37.2372021826439,-80.4348479974005,0,0
1314,1314,University City/Glade Sbnd,314,37.2357602721404,-80.4341171336992,0,0
1315,1315,University Mall Sbnd,315,37.2342019559618,-80.4333363573557,0,0
1642,1642,Main/S Hill Sbnd,811,37.2072341863653,-80.3989424049224,0,0
1643,1643,Main/Cedar Pointe Sbnd,812,37.2031250419095,-80.3992749988601,0,0
1644,1644,Main/South Park Sbnd,813,37.2001477897255,-80.4002687573593,0,0
1657,1657,Professional Park/Southpark Ebnd,NEW and Improved!!,37.1979161728778,-80.4020410108959,0,0
1637,1637,Prosperity/Industrial Park Nbnd,805,37.1942065272561,-80.3976158688022,0,0
1638,1638,Professional Park Nbnd,806,37.1971231483198,-80.4002754996324,0,0
1639,1639,Main/Cedar Pointe Nbnd,808,37.2009162426541,-80.3999549388859,0,0
1640,1640,Main/S Hill Nbnd,809,37.2069565777157,-80.3989129006215,0,0
1304,1304,Broce/Toms Creek Ebnd,,37.241424306716,-80.4259978488682,0,0
1305,1305,Progress/Broce Nbnd,305,37.2423738087639,-80.4222440971282,0,0
1306,1306,Progress/University Terr Nbnd,306,37.2442285564082,-80.4214877141409,0,0
1307,1307,Progress/Patrick Henry Nbnd,307,37.245230361535,-80.4214997840822,0,0
1308,1308,1575 Patrick Henry Wbnd,308,37.2449353185258,-80.425218667103,0,0
1309,1309,Patrick Henry/Toms Creek Wbnd,309,37.2438103490764,-80.428044078086,0,0
8117,8117,Orange Bay 17,,37.231019,-80.427163,0,0
1316,1316,University Mall Nbnd,400,37.2345752855882,-80.4334315915961,0,0
1318,1318,University City/Broce Nbnd,402,37.2374150607952,-80.4348693885332,0,0
1319,1319,Shawnee on University City Nbnd,403,37.2413886759364,-80.434962083442,0,0
1320,1320,Shawnee on University City Ebnd,404,37.2423224450967,-80.4328907087586,0,0
1322,1322,University City/Toms Creek Ebnd,406,37.2429844485693,-80.429562848508,0,0
1323,1323,Patrick Henry/Toms Creek Ebnd,407,37.2440528717073,-80.4275937633272,0,0
